Mesure;Latitude;Longitude;Temperature[°C];Humidity[%];Pressure[hPa];Particulates(1.0)[ug/m3];Particulates(2.5)[ug/m3];Particulates(10.0)[ug/m3]
1;43.57343211;1.465523747;14.27150775;61.29907875;1000.511925;1.625;4.5125;5.775
2;43.57255077;1.465786345;18.84600896;49.91782565;1001.76093;0.730434783;1.730434783;2.408695652
3;43.57249637;1.468773174;15.88285049;54.01100835;1001.226146;0.174757282;1.72815534;2.980582524
4;43.57088145;1.46864184;18.07645977;49.42558129;1000.203925;1.068181818;2.734848485;4.621212121
5;43.56991575;1.469817954;16.73727426;52.47211946;1000.621155;1.155405405;3.506756757;5.22972973
6;43.56898575;1.469259358;17.75225564;50.18019383;1000.390394;0.925531915;2.574468085;3.574468085
7;43.56801016;1.470412708;16.43095317;52.06523307;1000.570079;1.257425743;3.376237624;5.742574257
8;43.56800423;1.469265588;16.09530601;52.75260778;1000.488228;0.85443038;2.911392405;4.348101266
9;43.57039875;1.468651566;20.76477096;44.88420149;999.9836261;3.946808511;7.324468085;8.611702128
10;43.56971992;1.467627398;19.40260493;47.51323907;1000.232403;1.413333333;3.186666667;5.12
11;43.57220604;1.467187812;17.37850132;56.04670132;1000.336485;1.044117647;2.323529412;3.294117647
12;43.57225413;1.465671405;16.58341588;55.80136812;1000.012534;0.941176471;2.176470588;3.882352941
